timestamp,amplitude
1774605281.650864,78
1774605281.6667507,70
1774605281.6828804,70
1774605281.6991737,67
1774605281.715041,67
1774605281.7308915,63
1774605281.7468643,63
1774605281.7630527,60
1774605281.7790124,56
1774605281.794968,56
1774605281.8113801,51
1774605281.8275065,54
1774605281.843504,48
1774605281.8594632,51
1774605281.874989,51
1774605281.8911448,51
1774605281.907437,49
1774605281.9236677,46
1774605281.9390657,45
1774605281.9548988,39
1774605281.9708428,42
1774605281.9867983,41
1774605282.0027637,41
1774605282.018847,40
1774605282.034907,37
1774605282.0511355,36
1774605282.0668085,32
1774605282.0828617,31
1774605282.0988455,27
1774605282.1147597,26
1774605282.1306887,24
1774605282.1468086,23
1774605282.1627638,23
1774605282.178766,24
1774605282.1947,23
1774605282.2107742,22
1774605282.2267432,22
1774605282.2427125,21
1774605282.2587376,20
1774605282.2746856,20
1774605282.2906995,19
1774605282.3066812,19
1774605282.3228967,19
1774605282.3386793,20
1774605282.3549478,20
1774605282.3708377,19
1774605282.386783,19
1774605282.4026995,19
1774605282.4187589,18
1774605282.4347255,18
1774605282.4507246,19
1774605282.46677,21
1774605282.4826157,20
1774605282.4986148,21
1774605282.514795,21
1774605282.53143,21
1774605282.5471458,21
1774605282.5629015,22
1774605282.5788221,23
1774605282.5949345,22
1774605282.6114302,22
1774605282.6274755,21
1774605282.643536,22
1774605282.6590252,21
1774605282.6754704,22
1774605282.6914883,22
1774605282.7069578,23
1774605282.723084,21
1774605282.739088,22
1774605282.7549813,22
1774605282.7709782,22
1774605282.7869563,21
1774605282.8030603,23
1774605282.8190053,22
1774605282.8349411,22
1774605282.851484,22
1774605282.8674679,22
1774605282.8830285,22
1774605282.8995051,22
1774605282.915054,23
1774605282.9315662,24
1774605282.947516,25
1774605282.9635236,25
1774605282.978911,26
1774605282.995488,25
1774605283.011488,23
1774605283.027478,23
1774605283.0428433,22
1774605283.0588582,20
1774605283.0750844,21
1774605283.0909872,21
1774605283.1069293,20
1774605283.1229784,20
1774605283.1388068,21
1774605283.1548715,21
1774605283.1707783,20
1774605283.1868098,20
1774605283.2033496,21
1774605283.2191167,20
1774605283.2354774,18
1774605283.2515125,19
1774605283.2675056,18
1774605283.2832804,17
1774605283.2995906,16
1774605283.3155644,16
1774605283.3310678,17
1774605283.3470232,17
1774605283.3629136,17
1774605283.3791275,19
1774605283.3950634,20
1774605283.4109025,19
1774605283.42752,20
1774605283.4436705,20
1774605283.4595494,19
1774605283.4755208,18
1774605283.4915323,19
1774605283.5075614,18
1774605283.5235343,18
1774605283.539083,19
1774605283.5556533,20
1774605283.5710223,19
1774605283.5870435,20
1774605283.6032794,20
1774605283.6195962,20
1774605283.6351802,19
1774605283.651553,19
1774605283.6673484,20
1774605283.6831732,20
1774605283.69939,20
1774605283.7152169,20
1774605283.731549,20
1774605283.7475374,19
1774605283.7635686,19
1774605283.7795577,20
1774605283.7954159,20
1774605283.8115451,19
1774605283.8275468,20
1774605283.8436365,21
1774605283.8591075,21
1774605283.8750658,21
1774605283.8910308,22
1774605283.9075007,21
1774605283.9231374,20
1774605283.9390051,20
1774605283.955146,21
1774605283.9710953,19
1774605283.9871304,20
1774605284.0030522,20
1774605284.0196514,20
1774605284.0357306,19
1774605284.0516055,20
1774605284.0676756,20
1774605284.0836973,19
1774605284.0991786,19
1774605284.1156023,19
1774605284.1316593,19
1774605284.1470017,19
1774605284.163091,20
1774605284.179468,19
1774605284.1954691,18
1774605284.2116027,18
1774605284.2272007,18
1774605284.243623,17
1774605284.259646,18
1774605284.2757268,18
1774605284.2910292,17
1774605284.3076158,19
1774605284.3232124,19
1774605284.339645,18
1774605284.3553548,19
1774605284.3711848,19
1774605284.3870733,19
1774605284.403115,20
1774605284.4195085,22
1774605284.4353144,22
1774605284.4511647,23
1774605284.467637,22
1774605284.4836311,22
1774605284.4992297,20
1774605284.5155492,20
1774605284.5310879,19
1774605284.5471547,19
1774605284.563117,20
1774605284.5789528,21
1774605284.594879,23
1774605284.6110077,23
1774605284.6269112,24
1774605284.6429136,23
1774605284.6588876,22
1774605284.6749487,21
1774605284.6909583,22
1774605284.7070436,22
1774605284.7229643,21
1774605284.7387877,20
1774605284.7552195,19
1774605284.770867,18
1774605284.7870412,18
1774605284.8030963,19
1774605284.8188827,20
1774605284.8348997,21
1774605284.850834,21
1774605284.8669248,21
1774605284.8829033,21
1774605284.8988273,22
1774605284.915038,20
1774605284.931095,19
1774605284.9470282,20
1774605284.963177,19
1774605284.979688,19
1774605284.9951894,19
1774605285.0111325,19
1774605285.0270991,20
1774605285.0433793,20
1774605285.0591884,20
1774605285.075292,21
1774605285.0910943,21
1774605285.1070309,21
1774605285.123122,21
1774605285.1390688,20
1774605285.1551125,20
1774605285.1710603,21
1774605285.1870909,21
1774605285.202933,22
1774605285.218984,24
1774605285.2350123,24
1774605285.2511373,26
1774605285.2672145,27
1774605285.2830212,27
1774605285.2993085,26
1774605285.3150291,25
1774605285.331637,23
1774605285.3476377,22
1774605285.3637023,22
1774605285.3797038,20
1774605285.3958125,20
1774605285.4111867,20
1774605285.4276989,21
1774605285.4432516,21
1774605285.4591799,24
1774605285.4757674,24
1774605285.491737,25
1774605285.5076964,26
1774605285.5237868,25
1774605285.5391002,24
1774605285.5551903,23
1774605285.5716388,22
1774605285.5872138,22
1774605285.603155,23
1774605285.6191168,24
1774605285.6352043,24
1774605285.6510274,24
1774605285.667718,23
1774605285.683312,23
1774605285.6992722,21
1774605285.7152178,23
1774605285.7312348,24
1774605285.747071,23
1774605285.763177,23
1774605285.7792737,24
1774605285.7955236,24
1774605285.811036,23
1774605285.8278039,23
1774605285.8430743,24
1774605285.8591006,23
1774605285.8750875,20
1774605285.8911545,19
1774605285.9072285,19
1774605285.9232287,18
1774605285.939262,18
1774605285.9551203,20
1774605285.9711275,22
1774605285.9873433,22
1774605286.0029476,22
1774605286.0188873,24
1774605286.0349283,23
1774605286.0509143,23
1774605286.067155,22
1774605286.0830102,22
1774605286.0991178,22
1774605286.1152115,23
1774605286.1312413,24
1774605286.1472495,26
1774605286.1633182,28
1774605286.1797814,28
1774605286.1954308,28
1774605286.2118714,30
1774605286.2278519,33
1774605286.2431393,34
1774605286.2592044,36
1774605286.2757843,39
1774605286.2918093,38
1774605286.3072565,40
1774605286.3239102,43
1774605286.339498,42
1774605286.3554819,46
1774605286.3718562,48
1774605286.387818,50
1774605286.4038172,50
1774605286.4192882,51
1774605286.4352906,48
1774605286.4515834,46
1774605286.4678507,43
1774605286.4838037,41
1774605286.4992516,39
1774605286.5152988,40
1774605286.5314581,41
1774605286.5475497,42
1774605286.5638177,45
1774605286.5798447,47
1774605286.5958314,48
1774605286.6118279,49
1774605286.6279197,49
1774605286.6438138,50
1774605286.659364,51
1774605286.6758199,50
1774605286.6918201,51
1774605286.7071948,52
1774605286.723798,50
1774605286.7398355,51
1774605286.755289,51
1774605286.771422,50
1774605286.787843,50
1774605286.8035145,49
1774605286.8193953,48
1774605286.8353403,47
1774605286.851236,43
1774605286.8673525,37
1774605286.8830972,32
1774605286.8993762,27
1774605286.915242,24
1774605286.9314022,28
1774605286.9474502,28
1774605286.9632251,28
1774605286.979349,29
1774605286.9954813,29
1774605287.0112305,23
1774605287.0271065,23
1774605287.0431366,23
1774605287.0591984,21
1774605287.0752323,19
1774605287.0910735,20
1774605287.1072576,22
1774605287.1231508,21
1774605287.1391964,22
1774605287.1553423,23
1774605287.1712165,22
1774605287.187126,19
1774605287.2031043,20
1774605287.2191114,20
1774605287.2352178,20
1774605287.2513757,23
1774605287.267102,28
1774605287.2831244,37
1774605287.299145,47
1774605287.3151743,55
1774605287.3310962,61
1774605287.3473253,64
1774605287.3632398,65
1774605287.3791955,65
1774605287.3952563,66
1774605287.4110887,67
1774605287.4273617,69
1774605287.4435456,66
1774605287.4598858,59
1774605287.4759665,50
1774605287.4918883,42
1774605287.507986,33
1774605287.5238783,28
1774605287.539891,25
1774605287.5553765,24
1774605287.5713305,26
1774605287.5879183,39
1774605287.6039186,51
1774605287.6198952,63
1774605287.6353931,74
1774605287.6514058,84
1774605287.6674075,85
1774605287.6834838,85
1774605287.6993403,85
1774605287.7153528,87
1774605287.7319162,88
1774605287.747482,87
1774605287.7636418,87
1774605287.7799401,87
1774605287.7953892,87
1774605287.8110132,85
1774605287.8271108,84
1774605287.8439205,83
1774605287.8595903,80
1774605287.875589,76
1774605287.8920236,71
1774605287.9079196,68
1774605287.9233212,64
1774605287.9400537,62
1774605287.9559367,57
1774605287.9714441,51
1774605287.9874434,45
1774605288.0040116,37
1774605288.019922,32
1774605288.0352762,32
1774605288.0514514,37
1774605288.0673382,42
1774605288.0835066,48
1774605288.099502,48
1774605288.1154478,46
1774605288.1313248,46
1774605288.1474352,47
1774605288.1634111,48
1774605288.179391,53
1774605288.1953723,59
1774605288.2113853,60
1774605288.2273846,59
1774605288.2440248,58
1774605288.2594647,54
1774605288.2759483,50
1774605288.2919698,45
1774605288.3079715,41
1774605288.3234687,40
1774605288.339975,38
1774605288.3555663,36
1774605288.3720186,34
1774605288.387971,36
1774605288.4039717,36
1774605288.420111,44
1774605288.4354084,50
1774605288.4516265,57
1774605288.4674757,59
1774605288.4837668,58
1774605288.5000308,51
1774605288.5159755,47
1774605288.5319822,44
1774605288.5477698,45
1774605288.5636916,47
